"Designator","Comment","Layer","Footprint","Mid-X","Mid-Y","Rotation","Description"
"R10","5K1","TopLayer","RES_0603","32.5000","7.5000","180","100mW 5.1kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R9","47K","TopLayer","RES_0603","38.0000","8.7500","180","100mW 47kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R8","49R9","TopLayer","RES_0603","10.0000","31.2500","0","100mW 33O 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R7","5K1","TopLayer","RES_0603","46.0000","50.2000","90","100mW 5.1kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R6","5K1","TopLayer","RES_0603","34.0000","50.2500","90","100mW 5.1kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R5","5K1","TopLayer","RES_0603","16.0000","10.5000","0","100mW 5.1kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R4","1K","TopLayer","RES_0603","25.5000","25.5000","0","100mW 1kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R3","1K","TopLayer","RES_0603","25.5000","27.5000","0","100mW 1kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R2","1K","TopLayer","RES_0603","25.5000","29.5000","0","100mW 1kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"R1","1K","TopLayer","RES_0603","19.2500","49.0000","0","100mW 1kO 75V Thick Film Resistor �100ppm/? �1% 0603 Chip Resistor - Surface Mount RoHS"
"J1","USB","TopLayer","USB4105-GF-A-060","40.0000","50.9623","180","USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle"
"FB2","120R","TopLayer","FB_0603","26.5000","7.5000","0","120O@100MHz 1 Line Ferrite Bead 0603 2A 50mO"
"FB1","120R","TopLayer","FB_0603","31.7500","44.7500","180","120O@100MHz 1 Line Ferrite Bead 0603 2A 50mO"
"D3","150080M153000","TopLayer","150080M153000","22.1250","27.5000","90","Water Clear SMD-4P,2x1.2mm LED Indication - Discrete RoHS"
"D2","USBLC6-2SC6","TopLayer","SOT-23-6","40.0000","43.6000","180","Low-Capacitance ESD Protection USB"
"D1","ON","TopLayer","LED_0603_RED","22.5000","49.0000","180","Red 625nm LED Indication - Discrete 2.3V 0603"
"C33","100n","TopLayer","CAP_0603","50.0000","6.7500","270","100nF �10% 50V Ceramic Capacitor X7R 0603"
"C32","390p","TopLayer","CAP_0603","51.0000","18.5000","0","390pF �5% 50V Ceramic Capacitor C0G 0603"
"C31","820p","TopLayer","CAP_0603","52.4500","22.3000","0","3.3nF �10% 50V Ceramic Capacitor X7R 0603"
"C30","1u","TopLayer","CAP_0603","55.9000","19.4000","90","1uF �10% 25V Ceramic Capacitor X7R 0603"
"C29","390p","TopLayer","CAP_0603","47.5000","18.5000","0","390pF �5% 50V Ceramic Capacitor C0G 0603"
"C27","100n","TopLayer","CAP_0603","48.5000","6.7500","270","100nF �10% 50V Ceramic Capacitor X7R 0603"
"C26","100n","TopLayer","CAP_0603","53.5000","13.5000","90","100nF �10% 50V Ceramic Capacitor X7R 0603"
"C25","100n","TopLayer","CAP_0603","54.3000","9.5000","270","100nF �10% 50V Ceramic Capacitor X7R 0603"
"C24","100n","TopLayer","CAP_0603","40.5000","6.7500","270","100nF �10% 50V Ceramic Capacitor X7R 0603"
"C23","390p","TopLayer","CAP_0603","41.5000","18.5000","0","390pF �5% 50V Ceramic Capacitor C0G 0603"
"C22","390p","TopLayer","CAP_0603","38.0000","18.5000","0","390pF �5% 50V Ceramic Capacitor C0G 0603"
"C21","100n","TopLayer","CAP_0603","39.0000","6.7500","270","100nF �10% 50V Ceramic Capacitor X7R 0603"
"C20","100n","TopLayer","CAP_0603","44.0000","13.5000","90","100nF �10% 50V Ceramic Capacitor X7R 0603"
"C19","100n","TopLayer","CAP_0603","34.6000","9.4500","270","100nF �10% 50V Ceramic Capacitor X7R 0603"
"C18","100n","TopLayer","CAP_0603","11.0000","10.5000","180","100nF �10% 50V Ceramic Capacitor X7R 0603"
"C17","9p","TopLayer","CAP_0603","35.9000","23.7000","0","8pF 50V Ceramic Capacitor NP0 0603"
"C16","9p","TopLayer","CAP_0603","38.5000","23.7000","180","8pF 50V Ceramic Capacitor NP0 0603"
